Channel,Video_ID,Author,Comment,Likes,Published_At
Channel 24,kdzQ7QMzhsE,@moushumicookingandvlog9671,হামের টিকা দেওয়ার পরও কি হাম হচ্ছে। আল্লাহ আমাদের এই রোগ থেকে হেফাজত করুক আমিন।,8,2026-03-31T07:32:34Z
Channel 24,kdzQ7QMzhsE,@hridoythesuperstar1038,যাদের কারণে এই অবস্থা তাদেরকে বিচারের আওতায় আনতে হবে,8,2026-03-31T04:00:17Z
Channel 24,kdzQ7QMzhsE,@mohammadshahedulislam2666,আহা ২৪ এর লাল স্বাধীনতার সুফল আমরা উপভোগ করতেছি।,2,2026-03-31T04:44:29Z
Channel 24,kdzQ7QMzhsE,@Ujjilmia-p9p,সরকারের তাড়াতাড়ি উদ্যোগ নিতে হবে।,3,2026-03-31T04:37:36Z
Channel 24,kdzQ7QMzhsE,@mohammadmamunurrashid851,"এই অবস্থার জন্য সুদখোর মহাজন ইউনুস  দায়ী, শিশুদের ঠিকমতো টিকা দিলে আজকে এই পরিস্থিতি দেখতে হতো না, সুদখোর মহাজন এসেছে উনার আখের গোছানোর জন্য",2,2026-03-31T07:29:16Z
Channel 24,kdzQ7QMzhsE,@WajihaRaisa-genZ,"4 - 5 বছরের বাচ্চাদের কি করব, ওরা তো স্কুলে যায়,, বাচ্চাদের সাথে খেলা করে",2,2026-03-31T08:54:34Z
Channel 24,kdzQ7QMzhsE,@ShibDeb-xz5gq,ইসলামে সংগ্রামক রোগ বলে কিছু হতেই পারে না।,4,2026-03-31T02:40:14Z
EKHON TV,pitYhNRWZbU,@FreeThinker_EBengal,আর কত?,0,2026-05-11T14:30:41Z
Rtv News,LVO8qSofHbk,@masumrezatoofan,"সরকারের ইপিআই ডাটাবেজ অনুযায়ী দেখা যায়, শেখ হাসিনার আমলে টিকা দেওয়ার হার প্রায় ৯০ শতাংশের কাছাকাছি ছিল। অন্যদিকে, ইউনূস-এনসিপি-জামায়াত এর জোট সরকারের সময় ২০২৫ সালে ‘ইউনূস ম্যাজিক’-এ এই হার কমে ৫৯ দশমিক ৬ শতাংশে নেমে আসে। এর মধ্যে হাম প্রতিরোধী এমআর টিকাও অন্তর্ভুক্ত ছিল। এরই খেসারত হিসেবে আজ হামে আক্রান্ত হয়ে শিশুরা মারা যাচ্ছে। এই হলো তথাকথিত নতুন বন্দোবস্তের ফলাফল, যেখানে শিশুরা আজ মৃত্যুর কোলে ঢলে পড়ছে। পরিষ্কার বোঝা যাচ্ছে, এই নতুন বন্দোবস্ত কোনো গণমুখী উদ্যোগ ছিল না; এটি ছিল সুবিধাভোগীদের নিজেদের পুনর্বাসন এবং ক্ষমতার পুনর্বণ্টনের সুপরিকল্পিত প্রক্রিয়া।<br>নতুন বন্দোবস্তে রাস্তার কিছু টোকাই এমপি, মন্ত্রী হয়েছে এবং অনেক টাকার মালিক হয়েছে। অন্যদিকে, টিকার অভাবে নিস্পাপ শিশুরা হাম রোগে আক্রান্ত হয়ে মারা যাচ্ছে।",0,2026-04-02T14:04:06Z
Channel 24,SvWKcZXOGwg,@RobiulHawlade,দুদক কে অনুরোধ করছি আপনারা চট্টগ্রাম মেডিকেল কলেজ হাসপাতালে আসেন এখানে বড় দুনীতি চলে,9,2026-03-30T03:21:53Z
